ID,site,context,municipality,county,country,country_code,paroisse,canton,comte,commune,lat,lng
DK-19,Melbjerg høje,Stubdrup,NA,NA,Denmark,DK,Øster Brønderslev,Børglum,Hjørring,Brønderslev,57.24841,9.99593
DK-20,Lem,NA,NA,NA,Denmark,DK,Hellevad,Dronninglund,Hjørring,Brønderslev,57.21022,10.1672
DK-21,Søndersø Nørremark,NA,NA,NA,Denmark,DK,Søndersø,Skovby,Odense,Nordfyns,55.48526,10.2554
DK-22,Vester-Egesborg,NA,NA,NA,Denmark,DK,Vester-Egesborg,Hammer,Præstø,Næstved,55.15521,11.81821
DK-23,Marshøj,NA,NA,NA,Denmark,DK,Gjerrild,Djurs Nørre,Randers,Norddjurs,56.51509,10.86391
DK-24,Thorsø Hede,NA,NA,NA,Denmark,DK,Voldby,Djurs Nørre,Randers,Norddjurs,56.46191,10.86866
DK-25,Kjeldsminde,NA,NA,NA,Denmark,DK,Årslev,Sønderhald,Randers,Randers,56.39764,10.15032
DK-26,Lemmer,NA,NA,NA,Denmark,DK,Lime,Sønderhald,Randers,Syddjurs,56.3125,10.52083
DK-27,Allestrup Vest,Tombe Bz,NA,NA,Denmark,DK,Vejlby,Sønderhald,Randers,Norddjurs,56.38316,10.81514
DK-28,Allestrup Vest,Tombe Cn,NA,NA,Denmark,DK,Vejlby,Sønderhald,Randers,Norddjurs,56.38316,10.81514
DK-29,Allestrup Vest,Tombe Eh,NA,NA,Denmark,DK,Vejlby,Sønderhald,Randers,Norddjurs,56.38316,10.81514
DK-30,Vittrup,Tumulus 3,Tombe A,NA,Denmark,DK,Lindknud,Malt,Ribe,Vejen,55.56594,9.01605
DK-31,Solbakkegård IV,Tombe GP,NA,NA,Denmark,DK,Bryndum,Skads,Ribe,Esbjerg,55.53593,8.47885
DK-32,Fredshavn,NA,NA,NA,Denmark,DK,Vorbasse,Slaugs,Ribe,Billund,55.62992,9.08239
DK-33,Vorbasse 6c,Tombe C2,NA,NA,Denmark,DK,Vorbasse,Slaugs,Ribe,Billund,55.62992,9.08239
DK-34,Vorbasse 20a,NA,NA,NA,Denmark,DK,Vorbasse,Slaugs,Ribe,Billund,55.62992,9.08239
